userID,gameID,prediction
u00914251,g61913894
u00914251,g87354867
u44824365,g16586637
u44824365,g06921499
u69168994,g51450658
u69168994,g39422502
u74934282,g45232069
u74934282,g38617825
u02906788,g36958384
u02906788,g63281890
u35844632,g92018877
u35844632,g75248233
u08586826,g36769937
u08586826,g02637258
u92465525,g01549519
u92465525,g53927674
u50690284,g05349653
u50690284,g95962067
u34690083,g08001721
u34690083,g16895800
u79438356,g04477361
u79438356,g45277843
u84107660,g11225866
u84107660,g75024126
u24256911,g67274965
u24256911,g75526007
u23937279,g31190276
u23937279,g52786930
u15844193,g55567630
u15844193,g32618319
u66008466,g12667678
u66008466,g06975986
u79801558,g27370047
u79801558,g26345826
u42207476,g26437139
u42207476,g83221585
u81077786,g91799982
u81077786,g99758692
u08258862,g59317800
u08258862,g31978006
u77378317,g87166472
u77378317,g71471611
u51062008,g19425343
u51062008,g71012857
u79025668,g05031080
u79025668,g04838458
u89703849,g73173393
u89703849,g48452334
u55093422,g54979645
u55093422,g55383272
u29576207,g57869201
u29576207,g06177547
u05088496,g00125299
u05088496,g65052090
u89482132,g59638098
u89482132,g66192174
u39599062,g75228197
u39599062,g37045588
u83720525,g31948580
u83720525,g63986135
u68722473,g75513928
u68722473,g52626909
u52693207,g99934462
u52693207,g55939569
u69957279,g51770536
u69957279,g16903439
u76695873,g49636917
u76695873,g69276634
u22769746,g22927590
u22769746,g45792269
u73312807,g17074600
u73312807,g54619657
u44594988,g91909847
u44594988,g05900475
u96980242,g83146398
u96980242,g28900944
u25042283,g08346452
u25042283,g34855252
u85288110,g54619657
u85288110,g52837853
u69394986,g59682009
u69394986,g73265847
u66399737,g73594265
u66399737,g32770457
u08942444,g84770347
u08942444,g98217589
u26800137,g68547272
u26800137,g51325735
u29718959,g76960634
u29718959,g80431145
u62402243,g28846994
u62402243,g34147651
u46285135,g78336897
u46285135,g05056898
u90784003,g90898833
u90784003,g00131880
u84685369,g22161219
u84685369,g85485988
u11194965,g58464197
u11194965,g39845845
u61089862,g72460998
u61089862,g46609035
u33951621,g77806076
u33951621,g65046475
u23335732,g03167855
u23335732,g15552748
u99613619,g10946181
u99613619,g80441672
