userID,gameID,prediction
u04763917,g51093074,4.223895486694583
u10668484,g42523222,1.2540279374424634
u82502949,g39422502,5.266729395941992
u14336188,g83517324,2.9388993688618403
u10096161,g10962300,3.337294910599995
u12864301,g29951417,0.7346461476359056
u74352605,g88258978,0.7377020223394628
u75043948,g25417282,4.272806282079288
u29296791,g59132435,2.6682654935789722
u25398433,g78239118,5.992123451630764
u84764376,g73199890,6.044946512335283
u09616615,g92522857,3.365670484040738
u10691163,g32680601,4.450243934805432
u38429458,g70782977,3.4295431611337297
u26986311,g06045292,3.7617707630850346
u65289967,g65794132,1.7171878772136544
u87979266,g89122297,3.2886197379893343
u05311714,g82220080,6.699383341731411
u78011182,g05463839,6.870348500376696
u34020914,g67139666,3.774258084232052
u62855536,g54634449,2.4041838837743486
u55833077,g88735741,2.3322402574042367
u24787553,g63858284,2.703361372506526
u90805846,g78518895,4.567159144776482
u83707320,g02273341,6.950443736721999
u20383715,g05349653,4.801990822860061
u29006683,g78139956,2.922580842911934
u71367785,g24982722,7.46697938431006
u04109297,g92694999,2.5679628847649916
u20230969,g71624193,1.9544519879485844
u37438991,g82994209,4.6915194887614655
u21174368,g82668863,3.683622123581306
u03586135,g66197269,1.7792102630282354
u15832377,g57834425,6.484036607269573
u60887184,g85840895,2.8853911306823172
u10763263,g16087475,2.9217859939630233
u24175693,g52437423,3.9986591478229374
u44150437,g59833534,3.581301656982495
u24031173,g35155801,5.060655237884921
u12741451,g16135457,4.294473277922544
u57709154,g46862476,2.7465773149193224
u29258017,g68168423,2.982952030995413
u81408606,g84686560,1.8260489213686268
u19089061,g91851682,3.2656115424378105
u73375206,g01392148,1.8629066361285957
u51732970,g09480895,3.5456261406429004
u90857197,g57791098,6.084666647142759
u29991534,g74380807,4.24762529557241
u22769746,g29741733,4.022383451100293
u71039405,g68576907,3.6909329587620148
u69685717,g67274965,4.878550432237706
u79638535,g29091141,3.936289337048151
u15856655,g48289742,2.405063129584479
u52155642,g34491894,3.440926823476627
u08348857,g75348396,2.62543219016816
u76615183,g16903439,3.745219494256675
u06363461,g00785638,2.848607697521283
u16745193,g47810653,4.614692357866017
u23967443,g17807252,4.610734630502936
u26638181,g73199890,5.970624289073911
u37208609,g54634449,2.5314605042031175
u51641312,g87912242,4.570796596155356
u39462514,g59027363,3.8113083417577607
u75733314,g49445983,5.613422731576716
u75148448,g60355697,2.2783492195298147
u32200747,g70274773,3.7588590092937197
u94793879,g88406710,3.1523031456193533
u13846553,g45685155,2.8379829180637466
u17863042,g61310716,2.8816471501613243
u92300468,g58854798,3.650808837718941
u26771241,g88161192,2.8203229686500446
u36252269,g17210393,5.106612110922373
u66968893,g32642694,2.534661368280284
u41619073,g69033010,4.612860251581316
u45751008,g99544321,4.223148310093781
u53708896,g68559005,3.39794290504094
u65902873,g13451594,4.662746589591833
u39310994,g23109078,3.3946405524440313
u85987227,g09929422,3.9055815067699773
u21721881,g08493444,4.020097264766094
u85850085,g69033010,4.633843794052137
u61057221,g23131507,3.157187154924673
u76302774,g09670581,4.379774301604383
